2025-07-10 22:16:20: Rename start: 07/10/2025 22:16:20 (Î≥ÄÍ≤??úÏûë)
2025-07-10 22:16:31: ?êç Processing Python files... (Python ?åÏùº Î≥ÄÍ≤?Ï§?
2025-07-10 22:16:54: Changed: C:\your_program\app.py - restaurant ??your_program
2025-07-10 22:16:54: Changed: C:\your_program\config.py - restaurant ??your_program
2025-07-10 22:16:54: Changed: C:\your_program\create_super_admin.py - restaurant ??your_program
2025-07-10 22:16:54: Changed: C:\your_program\deploy_production.py - restaurant ??your_program
2025-07-10 22:16:54: Changed: C:\your_program\models.py - restaurant ??your_program
2025-07-10 22:16:54: Changed: C:\your_program\scheduler.py - restaurant ??your_program
2025-07-10 22:16:54: Changed: C:\your_program\api\staff.py - restaurant ??your_program
2025-07-10 22:16:54: Changed: C:\your_program\api\modules\optimization.py - restaurant ??your_program
2025-07-10 22:16:54: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\app.py - restaurant ??your_program
2025-07-10 22:16:54: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\config.py - restaurant ??your_program
2025-07-10 22:16:54: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\create_super_admin.py - restaurant ??your_program
2025-07-10 22:16:54: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\deploy_production.py - restaurant ??your_program
2025-07-10 22:16:54: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\models.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\scheduler.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\api\staff.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\api\modules\optimization.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\config\config.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\migrations\versions\afae526cfff1_init_schema.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\routes\inventory.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\utils\chatbot_manager.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\utils\logger.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\utils\logger_backup.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\utils\logger_simple.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\utils\notify.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\utils\report_generator.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\utils\security_manager.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backups\backup_2025-07-10_22-04-41\utils\slack_alert.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-00-38\ai_server.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-00-38\app.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-00-38\app_plugin_integration.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-00-38\config.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-00-38\create_hierarchical_data.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-00-38\create_super_admin.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-00-38\deploy_production.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-00-38\models.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-00-38\scheduler.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-04-08\app.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-04-08\config.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-04-08\create_super_admin.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-04-08\deploy_production.py - restaurant ??your_program
2025-07-10 22:16:55: Changed: C:\your_program\backup_2025-07-10_17-04-08\models.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\backup_2025-07-10_17-04-08\scheduler.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\backup_2025-07-10_17-04-08\api\staff.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\backup_2025-07-10_17-04-08\api\modules\optimization.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\backup_2025-07-10_17-04-08\migrations\versions\afae526cfff1_init_schema.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\backup_2025-07-10_17-04-08\routes\inventory.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\backup_2025-07-10_17-04-08\utils\chatbot_manager.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\backup_2025-07-10_17-04-08\utils\logger.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\backup_2025-07-10_17-04-08\utils\logger_backup.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\backup_2025-07-10_17-04-08\utils\logger_simple.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\backup_2025-07-10_17-04-08\utils\notify.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\backup_2025-07-10_17-04-08\utils\report_generator.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\backup_2025-07-10_17-04-08\utils\security_manager.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\backup_2025-07-10_17-04-08\utils\slack_alert.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\migrations\versions\afae526cfff1_init_schema.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\routes\inventory.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\utils\chatbot_manager.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\utils\logger.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\utils\logger_backup.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\utils\logger_simple.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\utils\notify.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\utils\report_generator.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\utils\security_manager.py - restaurant ??your_program
2025-07-10 22:16:56: Changed: C:\your_program\utils\slack_alert.py - restaurant ??your_program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\alembic\runtime\__init__.py - restaurant ??your_program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\alembic\runtime\__init__.py - Restaurant ??Your_Program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\alembic\runtime\__init__.py - RESTAURANT ??YOUR_PROGRAM
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\alembic\testing\plugin\__init__.py - restaurant ??your_program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\alembic\testing\plugin\__init__.py - Restaurant ??Your_Program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\alembic\testing\plugin\__init__.py - RESTAURANT ??YOUR_PROGRAM
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\apscheduler\executors\__init__.py - restaurant ??your_program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\apscheduler\executors\__init__.py - Restaurant ??Your_Program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\apscheduler\executors\__init__.py - RESTAURANT ??YOUR_PROGRAM
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\apscheduler\jobstores\__init__.py - restaurant ??your_program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\apscheduler\jobstores\__init__.py - Restaurant ??Your_Program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\apscheduler\jobstores\__init__.py - RESTAURANT ??YOUR_PROGRAM
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\apscheduler\triggers\__init__.py - restaurant ??your_program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\apscheduler\triggers\__init__.py - Restaurant ??Your_Program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\apscheduler\triggers\__init__.py - RESTAURANT ??YOUR_PROGRAM
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\bleach\_vendor\__init__.py - restaurant ??your_program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\bleach\_vendor\__init__.py - Restaurant ??Your_Program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\bleach\_vendor\__init__.py - RESTAURANT ??YOUR_PROGRAM
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\bleach\_vendor\html5lib\filters\__init__.py - restaurant ??your_program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\bleach\_vendor\html5lib\filters\__init__.py - Restaurant ??Your_Program
2025-07-10 22:16:57: Changed: C:\your_program\venv\Lib\site-packages\bleach\_vendor\html5lib\filters\__init__.py - RESTAURANT ??YOUR_PROGRAM
2025-07-10 22:16:58: Changed: C:\your_program\venv\Lib\site-packages\engineio\async_drivers\__init__.py - restaurant ??your_program
2025-07-10 22:16:59: Changed: C:\your_program\venv\Lib\site-packages\engineio\async_drivers\__init__.py - Restaurant ??Your_Program
2025-07-10 22:16:59: Changed: C:\your_program\venv\Lib\site-packages\engineio\async_drivers\__init__.py - RESTAURANT ??YOUR_PROGRAM
